ID,Source,Target,Type,Label,Weight,TimeInterval,Edgecol
1286,1083,1102,Directed,,6.01E-04,"[2021,2024)",NULL
1287,1047,1103,Directed,,0.002207868,"[2021,2024)",NULL
1288,1087,1104,Directed,,0.005320677,"[2021,2024)",NULL
1289,1093,1105,Directed,,0.008516934,"[2021,2024)",NULL
1290,1077,1106,Directed,,0.020315809,"[2021,2024)",NULL
1291,1040,1107,Directed,,0.006437721,"[2021,2024)",NULL
1292,1075,1108,Directed,,0.014822415,"[2021,2024)",NULL
1293,1063,1109,Directed,,0.002681952,"[2021,2024)",NULL
1294,1057,1110,Directed,,0.019626684,"[2021,2024)",NULL
1295,1060,1111,Directed,,0.002247889,"[2021,2024)",NULL
1296,1095,1112,Directed,,0.111430276,"[2021,2024)",NULL
1297,1091,1113,Directed,,0.007707412,"[2021,2024)",NULL
1298,1065,1114,Directed,,0.001676369,"[2021,2024)",NULL
1299,1067,1115,Directed,,7.52E-04,"[2021,2024)",NULL
1300,1025,1116,Directed,,0.00180136,"[2021,2024)",NULL
1301,1050,1117,Directed,,0.01027305,"[2021,2024)",NULL
1302,1088,1118,Directed,,0.018369969,"[2021,2024)",NULL
1303,977,1119,Directed,,0.011117518,"[2021,2024)",NULL
1304,1035,1120,Directed,,0.001407717,"[2021,2024)",NULL
1305,1047,1121,Directed,,0.02454455,"[2021,2024)",NULL
1306,1070,1122,Directed,,0.005369638,"[2021,2024)",NULL
1307,1045,1123,Directed,,0.006683903,"[2021,2024)",NULL
1308,1080,1124,Directed,,0.050084946,"[2021,2024)",NULL
1309,997,1125,Directed,,0.001391262,"[2021,2024)",NULL
1310,1059,1126,Directed,,8.36E-04,"[2021,2024)",NULL
1311,1054,1127,Directed,,0.003617789,"[2021,2024)",NULL
1312,1076,1128,Directed,,0.00831139,"[2021,2024)",NULL
1313,1092,1129,Directed,,0.003013355,"[2021,2024)",NULL
1314,1023,1130,Directed,,0.001609634,"[2021,2024)",NULL
1315,1048,1131,Directed,,0.008889014,"[2021,2024)",NULL
1316,1082,1132,Directed,,0.002041356,"[2021,2024)",NULL
1317,1078,1133,Directed,,0.035278536,"[2021,2024)",NULL
1319,1085,1135,Directed,,0.005206666,"[2021,2024)",NULL
1320,1086,1136,Directed,,0.002840125,"[2021,2024)",NULL
1321,1095,1137,Directed,,0.09850636,"[2021,2024)",NULL
1322,1032,1138,Directed,,0.002964591,"[2021,2024)",NULL
1323,1061,1139,Directed,,0.002302979,"[2021,2024)",NULL
1324,1053,1140,Directed,,0.009812682,"[2021,2024)",NULL
1325,1062,1141,Directed,,0.001993385,"[2021,2024)",NULL
1326,995,1142,Directed,,0.001181043,"[2021,2024)",NULL
1327,1031,1143,Directed,,0.004630975,"[2021,2024)",NULL
1328,1068,1144,Directed,,0.003897703,"[2021,2024)",NULL
1329,966,1145,Directed,,0.001214536,"[2021,2024)",NULL
1330,1036,1146,Directed,,9.54E-04,"[2021,2024)",NULL
1331,998,1147,Directed,,0.001614539,"[2021,2024)",NULL
1332,1092,1148,Directed,,0.002967449,"[2021,2024)",NULL
1333,1078,1149,Directed,,0.100320924,"[2021,2024)",NULL
1334,982,1150,Directed,,0.001439684,"[2021,2024)",NULL
1335,1079,1151,Directed,,0.045229861,"[2021,2024)",NULL
1336,1058,1152,Directed,,0.035752653,"[2021,2024)",NULL
1337,1040,1153,Directed,,0.004815377,"[2021,2024)",NULL
1338,1077,1154,Directed,,0.004586714,"[2021,2024)",NULL
1339,1091,1155,Directed,,0.002313636,"[2021,2024)",NULL
1340,1023,1156,Directed,,0.004831189,"[2021,2024)",NULL
1341,1083,1157,Directed,,8.84E-04,"[2021,2024)",NULL
